DATE,M2SL
1991-04-01,3351.9
1991-07-01,3354.9
1991-10-01,3372.2
1992-01-01,3403.9
1992-04-01,3393.4
1992-07-01,3410.3
1992-10-01,3424.7
1993-01-01,3411.7
1993-04-01,3442.4
1993-07-01,3452.2
1993-10-01,3474.5
1994-01-01,3480.1
1994-04-01,3479.5
1994-07-01,3486.1
1994-10-01,3486.4
1995-01-01,3491.1
1995-04-01,3548.9
1995-07-01,3602.1
1995-10-01,3629.5
1996-01-01,3686.9
1996-04-01,3722.5
1996-07-01,3753.4
1996-10-01,3818.6
1997-01-01,3861.2
1997-04-01,3906.0
1997-07-01,3973.1
1997-10-01,4032.9
1998-01-01,4114.3
1998-04-01,4184.1
1998-07-01,4267.6
1998-10-01,4375.2
1999-01-01,4432.1
1999-04-01,4507.2
1999-07-01,4567.7
1999-10-01,4638.0
2000-01-01,4710.2
2000-04-01,4771.8
2000-07-01,4853.2
2000-10-01,4925.0
2001-01-01,5072.0
2001-04-01,5173.5
2001-07-01,5348.4
2001-10-01,5433.8
2002-01-01,5495.2
2002-04-01,5546.5
2002-07-01,5656.0
2002-10-01,5772.0
2003-01-01,5861.4
2003-04-01,5996.0
2003-07-01,6072.8
2003-10-01,6067.3
2004-01-01,6150.1
2004-04-01,6270.5
2004-07-01,6345.3
2004-10-01,6418.3
2005-01-01,6441.9
2005-04-01,6505.8
2005-07-01,6604.3
2005-10-01,6681.9
2006-01-01,6762.9
2006-04-01,6844.9
2006-07-01,6944.2
2006-10-01,7071.6
2007-01-01,7159.1
2007-04-01,7278.6
2007-07-01,7403.2
2007-10-01,7471.6
2008-01-01,7656.2
2008-04-01,7728.9
2008-07-01,7859.5
2008-10-01,8192.1
2009-01-01,8369.3
2009-04-01,8440.5
2009-07-01,8444.2
2009-10-01,8496.0
2010-01-01,8504.5
2010-04-01,8609.0
2010-07-01,8700.1
2010-10-01,8801.8
2011-01-01,8943.5
2011-04-01,9151.0
2011-07-01,9528.3
2011-10-01,9660.1
2012-01-01,9830.6
2012-04-01,9999.3
2012-07-01,10200.8
2012-10-01,10459.7
2013-01-01,10550.0
2013-04-01,10684.9
2013-07-01,10841.3
2013-10-01,11028.8
2014-01-01,11200.2
2014-04-01,11380.7
2014-07-01,11502.8
2014-10-01,11681.5
2015-01-01,11879.6
2015-04-01,12005.8
2015-07-01,12164.5
2015-10-01,12344.0
2016-01-01,12609.7
2016-04-01,12831.9
2016-07-01,13037.9
2016-10-01,13209.6
2017-01-01,13420.6
2017-04-01,13558.9
2017-07-01,13722.1
2017-10-01,13852.3
2018-01-01,13965.5
2018-04-01,14102.6
2018-07-01,14214.6
2018-10-01,14358.8
2019-01-01,14510.7
2019-04-01,14754.8
2019-07-01,15004.8
2019-10-01,15319.1
2020-01-01,15988.6
2020-04-01,18129.3
2020-07-01,18575.2
2020-10-01,19124.8
2021-01-01,19853.8
2021-04-01,20460.1
2021-07-01,20965.8
2021-10-01,21489.9
2022-01-01,21739.7
2022-04-01,21607.6
2022-07-01,21503.5
