DATE,MORTGAGE30US
1991-04-01,9.67
1991-07-01,8.92
1991-10-01,8.35
1992-01-01,8.98
1992-04-01,8.43
1992-07-01,8.02
1992-10-01,8.14
1993-01-01,7.50
1993-04-01,7.34
1993-07-01,6.95
1993-10-01,7.13
1994-01-01,7.80
1994-04-01,8.46
1994-07-01,8.82
1994-10-01,9.18
1995-01-01,8.38
1995-04-01,7.53
1995-07-01,7.62
1995-10-01,7.11
1996-01-01,7.69
1996-04-01,8.29
1996-07-01,8.16
1996-10-01,7.64
1997-01-01,7.97
1997-04-01,7.58
1997-07-01,7.28
1997-10-01,6.99
1998-01-01,7.08
1998-04-01,6.96
1998-07-01,6.64
1998-10-01,6.83
1999-01-01,6.98
1999-04-01,7.63
1999-07-01,7.76
1999-10-01,8.06
2000-01-01,8.23
2000-04-01,8.22
2000-07-01,7.88
2000-10-01,7.13
2001-01-01,6.91
2001-04-01,7.11
2001-07-01,6.72
2001-10-01,7.16
2002-01-01,7.18
2002-04-01,6.55
2002-07-01,5.99
2002-10-01,5.93
2003-01-01,5.91
2003-04-01,5.24
2003-07-01,5.98
2003-10-01,5.85
2004-01-01,5.40
2004-04-01,6.25
2004-07-01,5.72
2004-10-01,5.81
2005-01-01,6.04
2005-04-01,5.53
2005-07-01,5.91
2005-10-01,6.22
2006-01-01,6.35
2006-04-01,6.78
2006-07-01,6.31
2006-10-01,6.18
2007-01-01,6.16
2007-04-01,6.67
2007-07-01,6.42
2007-10-01,6.17
2008-01-01,5.85
2008-04-01,6.45
2008-07-01,6.09
2008-10-01,5.10
2009-01-01,4.85
2009-04-01,5.42
2009-07-01,5.04
2009-10-01,5.14
2010-01-01,4.99
2010-04-01,4.69
2010-07-01,4.32
2010-10-01,4.86
2011-01-01,4.86
2011-04-01,4.51
2011-07-01,4.01
2011-10-01,3.95
2012-01-01,3.99
2012-04-01,3.66
2012-07-01,3.40
2012-10-01,3.35
2013-01-01,3.57
2013-04-01,4.46
2013-07-01,4.32
2013-10-01,4.48
2014-01-01,4.40
2014-04-01,4.14
2014-07-01,4.20
2014-10-01,3.87
2015-01-01,3.69
2015-04-01,4.02
2015-07-01,3.86
2015-10-01,4.01
2016-01-01,3.71
2016-04-01,3.48
2016-07-01,3.42
2016-10-01,4.32
2017-01-01,4.14
2017-04-01,3.88
2017-07-01,3.83
2017-10-01,3.99
2018-01-01,4.44
2018-04-01,4.55
2018-07-01,4.72
2018-10-01,4.55
2019-01-01,4.06
2019-04-01,3.73
2019-07-01,3.64
2019-10-01,3.74
2020-01-01,3.5
2020-04-01,3.13
2020-07-01,2.9
2020-10-01,2.67
2021-01-01,3.17
2021-04-01,3.02
2021-07-01,3.01
2021-10-01,3.11
2022-01-01,4.67
2022-04-01,5.7
2022-07-01,6.7
